name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Palm Coast city, Florida",1600000US1254200,82388,67091,60252,1017,20309,2378,5244,9991,5020,7167,68421,32331,2245,8678,51003,12,54200,2014,Florida,12_54200,Palm Coast
"Pembroke Pines city, Florida",1600000US1255775,164625,105626,113184,909,28524,3502,6900,14831,16471,21331,130120,83561,6043,14240,61495,12,55775,2014,Florida,12_55775,Pembroke Pines
"Pine Hills CDP, Florida",1600000US1256825,76021,8939,46586,1519,15015,2071,1792,5962,3840,3393,57441,41124,6468,23296,36219,12,56825,2014,Florida,12_56825,Pine Hills CDP
"Plantation city, Florida",1600000US1257425,91454,65570,66112,543,13347,1786,3827,9578,6635,16054,75072,51795,4015,9821,65152,12,57425,2014,Florida,12_57425,Plantation
"Pompano Beach city, Florida",1600000US1258050,106115,66950,80137,1584,21509,3860,4466,10014,6810,12164,88708,51368,5091,20987,42061,12,58050,2014,Florida,12_58050,Pompano Beach
"Port St. Lucie city, Florida",1600000US1258715,174093,129836,125233,3129,36593,7278,12676,18692,16247,12541,142249,80317,6409,17201,47129,12,58715,2014,Florida,12_58715,Port St. Lucie
"Riverview CDP, Florida",1600000US1260950,81226,51260,52822,490,11839,2645,3794,11320,5248,8508,61758,41259,4780,10969,54502,12,60950,2014,Florida,12_60950,Riverview CDP
"St. Petersburg city, Florida",1600000US1263000,253682,172432,183447,2569,41603,8802,10308,27597,18065,38952,210539,130280,8398,44275,46048,12,63000,2014,Florida,12_63000,St. Petersburg
"Spring Hill CDP, Florida",1600000US1268350,98950,87883,73741,919,20976,3426,6802,10089,10038,8555,82366,40796,3986,13462,41777,12,68350,2014,Florida,12_68350,Spring Hill CDP
"Sunrise city, Florida",1600000US1269700,91256,50278,61758,1620,14054,3367,3345,9470,7731,11478,74035,51647,4906,11692,51190,12,69700,2014,Florida,12_69700,Sunrise
"Tallahassee city, Florida",1600000US1270600,188106,108478,99010,431,13061,3736,5141,13769,9799,27644,158596,106457,13825,55145,38085,12,70600,2014,Florida,12_70600,Tallahassee
"Tampa city, Florida",1600000US1271000,358684,231131,239008,4060,51081,9599,11237,30195,22442,48582,289375,186060,16193,70879,45709,12,71000,2014,Florida,12_71000,Tampa
