name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Warner Robins city, Georgia",1600000US1380508,73060,37604,47485,128,12798,2389,2978,8671,3832,7912,55748,34082,2306,19380,44023,13,80508,2014,Georgia,13_80508,Warner Robins
"Urban Honolulu CDP, Hawaii",1600000US1571550,350403,59358,258231,5997,61412,4552,12854,34845,25397,58915,296924,189224,7572,40138,61827,15,71550,2014,Hawaii,15_71550,Urban Honolulu CDP
"Boise City city, Idaho",1600000US1608830,216280,189444,139737,1982,23722,4071,11194,25982,10595,35101,171452,115115,6002,29271,51750,16,08830,2014,Idaho,16_08830,Boise City
"Meridian city, Idaho",1600000US1652120,87739,,,,,,,,,,65516,42366,1027,9526,59080,16,52120,2014,Idaho,16_52120,Meridian
"Nampa city, Idaho",1600000US1656260,88208,77022,52054,846,12077,4742,7685,7849,4460,5750,63506,40218,3587,17435,41297,16,56260,2014,Idaho,16_56260,Nampa
"Arlington Heights village, Illinois",1600000US1702154,74445,63594,54707,758,9324,250,2733,6273,3185,18551,59676,40429,1812,4591,78988,17,02154,2014,Illinois,17_02154,Arlington Heights village
"Aurora city, Illinois",1600000US1703012,200708,108563,118726,2340,21584,4195,6332,13903,7597,26084,147630,105314,7687,28599,68304,17,03012,2014,Illinois,17_03012,Aurora
"Bloomington city, Illinois",1600000US1706613,78743,62291,50281,703,11117,2392,3653,3841,3938,13832,62854,43349,2402,10916,59614,17,06613,2014,Illinois,17_06613,Bloomington
"Bolingbrook village, Illinois",1600000US1707133,73414,31390,45467,613,10400,1304,3092,7353,3435,8437,54970,38834,2667,7530,73333,17,07133,2014,Illinois,17_07133,Bolingbrook village
"Champaign city, Illinois",1600000US1712385,84520,58095,46597,67,5516,1121,2445,6004,3868,12527,70912,45095,1942,21726,46817,17,12385,2014,Illinois,17_12385,Champaign
"Chicago city, Illinois",1600000US1714000,2722407,1317969,1835667,35027,381050,55818,76658,249829,97262,393742,2182582,1438491,156898,586719,48734,17,14000,2014,Illinois,17_14000,Chicago
"Cicero town, Illinois",1600000US1714351,84359,38660,48526,1689,12795,2275,1415,5475,1993,3208,60510,40720,3709,17352,42135,17,14351,2014,Illinois,17_14351,Cicero town
"Decatur city, Illinois",1600000US1718823,73081,52791,47987,327,12578,3933,4742,6869,3401,6672,58642,36595,3640,14648,40071,17,18823,2014,Illinois,17_18823,Decatur
"Elgin city, Illinois",1600000US1723074,116548,77318,75234,1710,16007,2600,4250,10322,6722,13912,90784,62698,3989,15539,60810,17,23074,2014,Illinois,17_23074,Elgin
"Evanston city, Illinois",1600000US1724582,75657,53053,48509,143,4764,573,1295,4774,1792,14210,61511,38838,2268,9666,73671,17,24582,2014,Illinois,17_24582,Evanston
"Joliet city, Illinois",1600000US1738570,146578,91846,90096,914,24836,3905,7770,13961,7961,12779,109343,77095,5186,17947,60894,17,38570,2014,Illinois,17_38570,Joliet
"Naperville city, Illinois",1600000US1751622,145396,105858,96282,530,8708,919,2763,9907,6861,34918,113037,78277,3940,7186,104419,17,51622,2014,Illinois,17_51622,Naperville
"Palatine village, Illinois",1600000US1757225,69357,49525,47620,542,7143,390,3795,6036,3654,14781,53796,39275,2620,5795,70328,17,57225,2014,Illinois,17_57225,Palatine village
"Peoria city, Illinois",1600000US1759000,117288,72749,75568,512,14478,2979,5665,10173,5924,17046,91781,57449,6334,24156,49840,17,59000,2014,Illinois,17_59000,Peoria
"Rockford city, Illinois",1600000US1765000,148996,100083,98376,1666,22842,6373,8802,14467,8353,12416,116131,73769,9944,35568,37172,17,65000,2014,Illinois,17_65000,Rockford
"Schaumburg village, Illinois",1600000US1768003,75287,51747,54424,646,10398,923,3340,7553,3931,15643,61499,42583,1746,5196,71946,17,68003,2014,Illinois,17_68003,Schaumburg village
"Skokie village, Illinois",1600000US1770122,65128,38619,46243,982,7195,861,2412,6962,2904,12962,52754,34946,3163,6929,76867,17,70122,2014,Illinois,17_70122,Skokie village
"Springfield city, Illinois",1600000US1772000,116649,84056,78582,417,19153,3664,5779,9440,6056,17357,93504,60396,4472,23062,48896,17,72000,2014,Illinois,17_72000,Springfield
"Waukegan city, Illinois",1600000US1779293,88998,61329,52436,1646,14157,5074,2356,4944,2136,6765,67287,45294,5165,16860,46211,17,79293,2014,Illinois,17_79293,Waukegan
"Bloomington city, Indiana",1600000US1805860,83423,67845,36959,61,3907,1159,1658,4590,2200,9036,73674,42067,3973,26554,31341,18,05860,2014,Indiana,18_05860,Bloomington
"Carmel city, Indiana",1600000US1810342,87015,75200,,,,,,,,,65426,46012,1470,2860,109375,18,10342,2014,Indiana,18_10342,Carmel
"Evansville city, Indiana",1600000US1822000,121299,98832,82634,403,25283,6033,6504,13371,5458,10331,97277,59311,4276,26378,35325,18,22000,2014,Indiana,18_22000,Evansville
"Fishers town, Indiana",1600000US1823278,84967,71598,,,,,,,,,61479,46631,1955,3225,91262,18,23278,2014,Indiana,18_23278,Fishers town
"Fort Wayne city, Indiana",1600000US1825000,256023,188136,163977,2297,41814,7681,10469,25089,15522,29629,197355,133144,10601,47048,43257,18,25000,2014,Indiana,18_25000,Fort Wayne
"Gary city, Indiana",1600000US1827000,71180,9198,46236,606,15439,1965,2682,9373,2825,3214,54184,28281,5320,26554,26367,18,27000,2014,Indiana,18_27000,Gary
"Hammond city, Indiana",1600000US1831000,78383,39842,48795,550,15072,3079,3546,7141,3127,4344,60731,36292,4834,22658,43283,18,31000,2014,Indiana,18_31000,Hammond
"Indianapolis city (balance), Indiana",1600000US1836003,851353,538499,555346,7782,133641,28467,30309,83407,36264,102755,660173,444644,39646,180858,42370,18,36003,2014,Indiana,18_36003,Indianapolis city (balance)
"Lafayette city, Indiana",1600000US1840788,67012,55778,44372,446,10153,2125,2497,8939,3904,7441,53228,35611,2883,13071,39655,18,40788,2014,Indiana,18_40788,Lafayette
"Muncie city, Indiana",1600000US1851876,70580,58502,38745,454,10448,2442,2049,6752,3005,4328,60150,34975,3478,19727,32990,18,51876,2014,Indiana,18_51876,Muncie
"South Bend city, Indiana",1600000US1871000,103019,66836,64839,819,16181,4149,4172,10565,3951,9171,76843,50722,4699,26815,35372,18,71000,2014,Indiana,18_71000,South Bend
"Cedar Rapids city, Iowa",1600000US1912000,129183,113288,86587,820,17775,3156,6752,14171,10070,20592,102182,71668,2931,14847,60845,19,12000,2014,Iowa,19_12000,Cedar Rapids
"Davenport city, Iowa",1600000US1919000,102431,82549,67533,436,16619,3838,6277,9154,7320,11658,81220,55889,2667,16476,48505,19,19000,2014,Iowa,19_19000,Davenport
"Des Moines city, Iowa",1600000US1921000,209064,162648,132622,3040,33723,7860,10296,19004,13136,21253,159247,110946,7745,43891,47888,19,21000,2014,Iowa,19_21000,Des Moines
"Iowa City city, Iowa",1600000US1938595,73424,61104,,,,,,,,,63381,39589,1475,17883,43736,19,38595,2014,Iowa,19_38595,Iowa City
"Sioux City city, Iowa",1600000US1973335,81392,68647,51612,386,13052,3597,3675,7292,3192,7393,62766,42878,2821,12676,42665,19,73335,2014,Iowa,19_73335,Sioux City
"Waterloo city, Iowa",1600000US1982425,68365,51181,45802,436,11972,2844,2925,6941,5670,8257,53721,35469,2588,10165,45516,19,82425,2014,Iowa,19_82425,Waterloo
"Kansas City city, Kansas",1600000US2036000,148323,89758,92819,2222,25352,4132,6722,15748,6255,9437,111070,69757,6728,36922,35724,20,36000,2014,Kansas,20_36000,Kansas City
"Lawrence city, Kansas",1600000US2038900,91282,74304,,,,,,,,,76981,51588,3200,19650,42989,20,38900,2014,Kansas,20_38900,Lawrence
"Olathe city, Kansas",1600000US2052575,133059,115210,82113,898,11187,1922,6157,12523,7468,24638,97641,73731,3338,11075,77008,20,52575,2014,Kansas,20_52575,Olathe
"Overland Park city, Kansas",1600000US2053775,184524,158289,127754,656,14086,2074,7624,17709,9765,44800,146806,101971,4436,10964,73441,20,53775,2014,Kansas,20_53775,Overland Park
"Topeka city, Kansas",1600000US2071000,127223,101516,83213,854,21563,5201,6484,13260,6080,14137,99035,62301,3196,22900,45291,20,71000,2014,Kansas,20_71000,Topeka
"Wichita city, Kansas",1600000US2079000,388413,291746,247900,3346,54699,10684,19325,40454,17418,48940,297322,190506,12977,61425,45477,20,79000,2014,Kansas,20_79000,Wichita
"Lexington-Fayette urban county, Kentucky",1600000US2146027,310797,235076,199844,1221,35883,10044,10041,28554,16230,47224,251471,170516,11471,61244,47968,21,46027,2014,Kentucky,21_46027,Lexington-Fayette urban county
"Louisville/Jefferson County metro government (balance), Kentucky",1600000US2148006,612775,433942,412536,6760,95140,23111,29138,65782,30893,66323,484801,315698,22970,112391,45503,21,48006,2014,Kentucky,21_48006,Louisville/Jefferson County metro government (balance)
"Baton Rouge city, Louisiana",1600000US2205000,228909,88292,137772,1442,36337,2526,7080,23616,7678,25155,185759,119023,9143,53754,38085,22,05000,2014,Louisiana,22_05000,Baton Rouge
"Bossier City city, Louisiana",1600000US2208920,67453,44248,41911,391,11295,2209,2992,6976,3585,6504,50301,31522,1500,10474,49195,22,08920,2014,Louisiana,22_08920,Bossier City
"Kenner city, Louisiana",1600000US2239475,67058,43967,48387,384,13243,2302,3072,8627,2859,8260,56638,35904,2356,9648,52219,22,39475,2014,Louisiana,22_39475,Kenner
"Lafayette city, Louisiana",1600000US2240735,126068,85031,82545,409,16642,2425,4195,14549,4389,18335,103076,69222,3589,20925,47521,22,40735,2014,Louisiana,22_40735,Lafayette
"Lake Charles city, Louisiana",1600000US2241155,74875,34284,48427,1464,13365,908,2494,9282,2327,7671,59352,34044,2956,20463,35017,22,41155,2014,Louisiana,22_41155,Lake Charles
"Metairie CDP, Louisiana",1600000US2250115,144239,119055,104688,752,24923,3723,5313,19037,6268,23027,118695,79874,4933,17679,50749,22,50115,2014,Louisiana,22_50115,Metairie CDP
"New Orleans city, Louisiana",1600000US2255000,384320,133630,266487,2462,58947,6927,11268,46394,10713,54841,313650,193149,19814,103794,35504,22,55000,2014,Louisiana,22_55000,New Orleans
"Shreveport city, Louisiana",1600000US2270000,197979,75071,130613,1938,37062,5579,5270,25871,5377,20340,155048,90433,6763,48812,36968,22,70000,2014,Louisiana,22_70000,Shreveport
"Portland city, Maine",1600000US2360545,66669,56753,48707,224,7467,1323,1749,6952,3656,15549,56301,41123,1963,12290,50691,23,60545,2014,Maine,23_60545,Portland
"Baltimore city, Maryland",1600000US2404000,622793,188819,423249,4014,112583,21413,21208,54463,20285,65113,503915,307422,36307,141224,42665,24,04000,2014,Maryland,24_04000,Baltimore
"Bethesda CDP, Maryland",1600000US2407125,62097,49100,,,,,,,,,48561,32614,1206,1692,149623,24,07125,2014,Maryland,24_07125,Bethesda CDP
"Columbia CDP, Maryland",1600000US2419125,97728,53899,68561,45,7184,748,2641,9540,3268,20289,79644,60334,2981,7175,99719,24,19125,2014,Maryland,24_19125,Columbia CDP
"Ellicott City CDP, Maryland",1600000US2426000,72295,44942,,,,,,,,,55413,37886,1492,3053,114801,24,26000,2014,Maryland,24_26000,Ellicott City CDP
"Frederick city, Maryland",1600000US2430325,68404,44726,48042,561,7575,904,3942,6956,5010,10484,54142,39829,1763,5354,69476,24,30325,2014,Maryland,24_30325,Frederick
"Gaithersburg city, Maryland",1600000US2431175,66807,28701,45235,609,6338,342,1837,4202,2361,12119,51667,38876,2993,5850,79988,24,31175,2014,Maryland,24_31175,Gaithersburg
"Germantown CDP, Maryland",1600000US2432025,85021,44751,55520,527,8603,382,2971,6835,5409,15292,64142,49417,2094,6292,82527,24,32025,2014,Maryland,24_32025,Germantown CDP
"Glen Burnie CDP, Maryland",1600000US2432650,69906,43934,47014,743,14231,2308,3230,8167,3309,5695,56209,38767,2737,6557,62440,24,32650,2014,Maryland,24_32650,Glen Burnie CDP
"Rockville city, Maryland",1600000US2467675,65941,39811,47083,311,4269,640,1635,4785,1794,13402,53252,37689,2023,4948,90606,24,67675,2014,Maryland,24_67675,Rockville
"Silver Spring CDP, Maryland",1600000US2472450,77726,36489,53113,918,7144,455,1152,5348,2095,12387,60440,48011,4001,8788,72412,24,72450,2014,Maryland,24_72450,Silver Spring CDP
"Waldorf CDP, Maryland",1600000US2481175,72048,24656,45246,178,12282,1302,3986,9276,3428,7950,55092,39920,2534,5121,80069,24,81175,2014,Maryland,24_81175,Waldorf CDP
"Boston city, Massachusetts",1600000US2507000,656051,347662,444008,11027,78812,12070,11477,45787,21271,113676,558216,377281,31364,138625,56902,25,07000,2014,Massachusetts,25_07000,Boston
"Brockton city, Massachusetts",1600000US2509000,94780,46817,62575,1244,19844,2116,2581,10930,5803,6395,72730,49542,5377,17676,44084,25,09000,2014,Massachusetts,25_09000,Brockton
"Cambridge city, Massachusetts",1600000US2511000,109699,75441,70814,974,4852,1322,801,4737,2026,20475,95947,66707,2611,13385,84249,25,11000,2014,Massachusetts,25_11000,Cambridge
"Fall River city, Massachusetts",1600000US2523000,88705,70903,60607,1458,16151,3629,2815,6942,4496,5667,73115,44149,4590,19910,35037,25,23000,2014,Massachusetts,25_23000,Fall River
"Framingham CDP, Massachusetts",1600000US2524960,70744,51521,49401,592,12447,866,1922,4150,2975,13827,56701,40018,1858,8218,64213,25,24960,2014,Massachusetts,25_24960,Framingham CDP
"Lawrence city, Massachusetts",1600000US2534550,78192,28376,46676,1760,14274,1948,3050,4519,3082,4364,59407,38794,3773,20844,38186,25,34550,2014,Massachusetts,25_34550,Lawrence
"Lowell city, Massachusetts",1600000US2537000,109931,66372,70674,3501,20006,3641,5361,5546,4528,9615,88693,57513,6000,23108,43620,25,37000,2014,Massachusetts,25_37000,Lowell
"Lynn city, Massachusetts",1600000US2537490,92137,42525,59012,3198,17158,1385,2765,9771,4344,8440,72052,48162,3483,15879,52481,25,37490,2014,Massachusetts,25_37490,Lynn
"New Bedford city, Massachusetts",1600000US2545000,94855,64226,64468,3292,17340,3323,2551,7243,5060,6719,74764,48148,3823,23216,39387,25,45000,2014,Massachusetts,25_45000,New Bedford
"Newton city, Massachusetts",1600000US2545560,88298,67118,58192,130,5631,1009,1317,3035,2815,15946,71665,46406,1468,3556,102796,25,45560,2014,Massachusetts,25_45560,Newton
"Quincy city, Massachusetts",1600000US2555745,93391,61080,69549,2017,14585,1614,2355,6864,5594,19280,78874,55422,3842,8332,68409,25,55745,2014,Massachusetts,25_55745,Quincy
"Somerville city, Massachusetts",1600000US2562535,78903,59704,58993,1685,9038,1483,1189,3871,1595,19119,70830,53269,2532,10719,74048,25,62535,2014,Massachusetts,25_62535,Somerville
"Springfield city, Massachusetts",1600000US2567000,153994,89178,92805,2802,22719,5789,5035,11133,8217,9902,117429,69416,9605,47044,33425,25,67000,2014,Massachusetts,25_67000,Springfield
"Worcester city, Massachusetts",1600000US2582000,183033,127637,115922,1209,31154,5011,4365,14489,8097,21748,146813,90580,8411,42251,46449,25,82000,2014,Massachusetts,25_82000,Worcester
"Ann Arbor city, Michigan",1600000US2603000,117759,84224,65980,340,4270,753,1309,6475,2470,19240,102247,63236,2916,24835,60337,26,03000,2014,Michigan,26_03000,Ann Arbor
"Dearborn city, Michigan",1600000US2621000,95546,84605,57930,2112,10355,2277,3283,7131,4809,10346,70284,40738,4203,25014,44543,26,21000,2014,Michigan,26_21000,Dearborn
"Detroit city, Michigan",1600000US2622000,680281,98650,430812,8768,113844,30455,23517,81991,30613,35234,530788,286350,61818,262767,25769,26,22000,2014,Michigan,26_22000,Detroit
"Farmington Hills city, Michigan",1600000US2627440,81440,54472,60792,691,7925,560,3038,9520,3615,17310,69381,43978,1670,6420,70757,26,27440,2014,Michigan,26_27440,Farmington Hills
"Flint city, Michigan",1600000US2629000,98990,41403,61762,768,16925,3529,4571,12971,5742,5360,77555,39027,9313,38980,26179,26,29000,2014,Michigan,26_29000,Flint
"Grand Rapids city, Michigan",1600000US2634000,193793,129315,120231,1873,25265,5122,8633,18104,8276,25150,151810,102433,8369,50000,39056,26,34000,2014,Michigan,26_34000,Grand Rapids
"Kalamazoo city, Michigan",1600000US2642160,75909,50761,39457,309,6177,1899,2176,8527,3250,8336,63135,41018,4339,24695,31734,26,42160,2014,Michigan,26_42160,Kalamazoo
"Lansing city, Michigan",1600000US2646000,113659,71402,72152,1432,13960,3364,6223,14104,7374,11826,88743,57950,5204,29607,36567,26,46000,2014,Michigan,26_46000,Lansing
"Livonia city, Michigan",1600000US2649000,94959,87142,69244,456,15918,1934,5644,11042,6379,15542,79170,51198,3260,5382,68668,26,49000,2014,Michigan,26_49000,Livonia
"Rochester Hills city, Michigan",1600000US2669035,73120,56741,48699,219,7079,540,2381,5767,4209,13904,57371,37351,1769,3192,90064,26,69035,2014,Michigan,26_69035,Rochester Hills
"Southfield city, Michigan",1600000US2674900,73001,17612,54351,1029,9169,1370,3156,11169,5213,12405,61703,38070,3785,10122,49010,26,74900,2014,Michigan,26_74900,Southfield
"Sterling Heights city, Michigan",1600000US2676460,131729,110735,93068,1703,26640,2277,6465,13606,7921,16541,109314,70597,4103,14788,59011,26,76460,2014,Michigan,26_76460,Sterling Heights
"Troy city, Michigan",1600000US2680700,83120,56799,58210,1194,7434,884,2324,6925,3660,14816,67498,43211,2476,2924,83921,26,80700,2014,Michigan,26_80700,Troy
"Warren city, Michigan",1600000US2684000,135099,98314,91459,1709,29692,3346,6084,14127,10767,10298,106869,64313,5443,27760,43060,26,84000,2014,Michigan,26_84000,Warren
"Westland city, Michigan",1600000US2686000,82318,56769,58366,438,17589,2184,4799,9453,6193,7234,69319,42904,2939,12635,42166,26,86000,2014,Michigan,26_86000,Westland
"Wyoming city, Michigan",1600000US2688940,74820,57562,48654,794,11125,2548,3585,7598,3706,7376,58102,40576,2609,11402,47751,26,88940,2014,Michigan,26_88940,Wyoming
"Bloomington city, Minnesota",1600000US2706616,86319,67923,65426,1002,13394,1256,5481,9643,6230,16987,73886,50192,2240,5144,64115,27,06616,2014,Minnesota,27_06616,Bloomington
"Brooklyn Park city, Minnesota",1600000US2707966,78741,43609,48559,1298,10405,1548,4386,6841,5823,11287,57778,41776,1497,7594,60179,27,07966,2014,Minnesota,27_07966,Brooklyn Park
"Duluth city, Minnesota",1600000US2717000,86242,77008,53593,394,11026,2427,3374,8887,5234,12721,73196,46746,2139,18355,42616,27,17000,2014,Minnesota,27_17000,Duluth
"Eagan city, Minnesota",1600000US2717288,66087,51982,46544,277,5627,821,2537,6172,4886,15024,52447,40506,914,5182,78884,27,17288,2014,Minnesota,27_17288,Eagan
"Maple Grove city, Minnesota",1600000US2740166,66949,,,,,,,,,,52101,40095,1259,3806,89339,27,40166,2014,Minnesota,27_40166,Maple Grove
"Minneapolis city, Minnesota",1600000US2743000,407181,265873,268479,5504,36772,8625,12313,35638,18651,79275,331923,246155,16457,90598,50791,27,43000,2014,Minnesota,27_43000,Minneapolis
"Plymouth city, Minnesota",1600000US2751730,75065,57747,,,,,,,,,58500,40820,1343,6163,81377,27,51730,2014,Minnesota,27_51730,Plymouth
"Rochester city, Minnesota",1600000US2754880,111398,91434,76697,852,11887,2955,5195,10540,6864,17782,87384,61153,3598,11686,64726,27,54880,2014,Minnesota,27_54880,Rochester
"St. Cloud city, Minnesota",1600000US2756896,64221,53791,39161,699,8179,1028,2651,8161,3797,8196,54830,39084,2594,12957,46638,27,56896,2014,Minnesota,27_56896,St. Cloud
"St. Paul city, Minnesota",1600000US2758000,297644,168906,183327,8890,31858,6328,10562,23493,14284,41056,228161,161106,12086,63811,48855,27,58000,2014,Minnesota,27_58000,St. Paul
"Woodbury city, Minnesota",1600000US2771428,66799,56628,,,,,,,,,51425,38141,1724,3574,94155,27,71428,2014,Minnesota,27_71428,Woodbury
"Gulfport city, Mississippi",1600000US2829700,71747,43523,47696,676,10110,3806,2786,10976,2396,5673,55857,32338,3144,17363,30737,28,29700,2014,Mississippi,28_29700,Gulfport
"Jackson city, Mississippi",1600000US2836000,171146,35402,106063,1161,19620,3294,5057,22416,6857,17842,132775,79416,9072,46664,34039,28,36000,2014,Mississippi,28_36000,Jackson
"Columbia city, Missouri",1600000US2915670,116892,91000,62070,385,8464,1456,2996,8486,4142,16923,97602,67812,2347,26830,46624,29,15670,2014,Missouri,29_15670,Columbia
"Independence city, Missouri",1600000US2935000,117503,97936,83811,1057,27818,4427,6837,14089,6141,10343,95535,57561,4151,15566,44769,29,35000,2014,Missouri,29_35000,Independence
"Kansas City city, Missouri",1600000US2938000,470816,275205,314015,4480,74696,11484,21193,51606,21176,61998,372021,253120,17171,82496,44173,29,38000,2014,Missouri,29_38000,Kansas City
"Lee's Summit city, Missouri",1600000US2941348,94627,79132,63791,10,12036,878,3113,9844,6268,19390,70632,49101,2356,6343,78187,29,41348,2014,Missouri,29_41348,Lee's Summit
"O'Fallon city, Missouri",1600000US2954074,83999,75050,,,,,,,,,63045,46954,1922,4837,80472,29,54074,2014,Missouri,29_54074,O'Fallon
